seed,k,classifier,negative_type,accuracy,precision,recall,f1,roc_auc,TP,TN,FP,FN
0,5,rf,auto,0.575,0.5458715596330275,0.8925,0.6774193548387096,0.575,357,103,297,43
0,5,rf,random,0.7725,0.7632850241545893,0.79,0.7764127764127764,0.7725,316,302,98,84
0,5,xgb,auto,0.5675,0.5564853556485355,0.665,0.6059225512528473,0.5675,266,188,212,134
0,5,xgb,random,0.7625,0.75,0.7875,0.7682926829268293,0.7625000000000001,315,295,105,85
0,5,cb,auto,0.57125,0.5566600397614314,0.7,0.6201550387596899,0.57125,280,177,223,120
0,5,cb,random,0.78,0.7641509433962265,0.81,0.7864077669902912,0.78,324,300,100,76
