seed,k,classifier,negative_type,accuracy,precision,recall,f1,roc_auc,TP,TN,FP,FN
2,4,rf,auto,0.55625,0.5334323922734027,0.8975,0.6691519105312209,0.55625,359,86,314,41
3,4,rf,auto,0.565,0.5414012738853503,0.85,0.6614785992217899,0.5650000000000001,340,112,288,60
4,4,rf,auto,0.58,0.5521172638436482,0.8475,0.6686390532544378,0.5800000000000001,339,125,275,61
5,4,rf,auto,0.555,0.5347003154574133,0.8475,0.655705996131528,0.5549999999999999,339,105,295,61
6,4,rf,auto,0.5625,0.5378787878787878,0.8875,0.6698113207547169,0.5625,355,95,305,45
7,4,rf,auto,0.55625,0.5358851674641149,0.84,0.6543330087633885,0.5562499999999999,336,109,291,64
8,4,rf,auto,0.56375,0.5411954765751211,0.8375,0.6575073601570167,0.56375,335,116,284,65
9,4,rf,auto,0.55875,0.5356600910470409,0.8825,0.6666666666666666,0.55875,353,94,306,47
0,4,rf,random,0.795,0.785024154589372,0.8125,0.7985257985257985,0.7949999999999999,325,311,89,75
1,4,rf,random,0.78125,0.7710843373493976,0.8,0.7852760736196319,0.78125,320,305,95,80
2,4,rf,random,0.76625,0.7566265060240964,0.785,0.7705521472392638,0.7662500000000001,314,299,101,86
3,4,rf,random,0.78875,0.7796610169491526,0.805,0.7921279212792128,0.78875,322,309,91,78
4,4,rf,random,0.78125,0.7723970944309927,0.7975,0.7847478474784748,0.78125,319,306,94,81
5,4,rf,random,0.79,0.7815533980582524,0.805,0.7931034482758621,0.79,322,310,90,78
6,4,rf,random,0.7725,0.7645631067961165,0.7875,0.7758620689655172,0.7725000000000001,315,303,97,85
7,4,rf,random,0.77625,0.7714987714987716,0.785,0.7781908302354399,0.7762500000000001,314,307,93,86
8,4,rf,random,0.79,0.7788461538461539,0.81,0.7941176470588235,0.79,324,308,92,76
9,4,rf,random,0.78625,0.7799511002444988,0.7975,0.788627935723115,0.7862499999999999,319,310,90,81
0,4,xgb,auto,0.6,0.5826446280991735,0.705,0.6380090497737556,0.6,282,198,202,118
1,4,xgb,auto,0.6,0.5826446280991735,0.705,0.6380090497737556,0.6,282,198,202,118
2,4,xgb,auto,0.605,0.5875,0.705,0.6409090909090909,0.605,282,202,198,118
3,4,xgb,auto,0.59625,0.5790554414784395,0.705,0.6358511837655016,0.59625,282,195,205,118
4,4,xgb,auto,0.58,0.5683760683760684,0.665,0.6129032258064516,0.5800000000000001,266,198,202,134
5,4,xgb,auto,0.585,0.5748898678414097,0.6525,0.6112412177985949,0.585,261,207,193,139
6,4,xgb,auto,0.58125,0.5684210526315789,0.675,0.6171428571428571,0.58125,270,195,205,130
7,4,xgb,auto,0.5825,0.5733333333333334,0.645,0.6070588235294118,0.5825,258,208,192,142
8,4,xgb,auto,0.57625,0.5623721881390593,0.6875,0.6186726659167604,0.57625,275,186,214,125
9,4,xgb,auto,0.60125,0.5780346820809249,0.75,0.6528835690968444,0.6012500000000001,300,181,219,100
0,4,xgb,random,0.8,0.7884615384615384,0.82,0.803921568627451,0.7999999999999999,328,312,88,72
1,4,xgb,random,0.79,0.7815533980582524,0.805,0.7931034482758621,0.79,322,310,90,78
2,4,xgb,random,0.785,0.7714285714285715,0.81,0.7902439024390244,0.7850000000000001,324,304,96,76
3,4,xgb,random,0.8,0.7926829268292683,0.8125,0.8024691358024691,0.7999999999999999,325,315,85,75
4,4,xgb,random,0.795,0.7935323383084577,0.7975,0.7955112219451371,0.7949999999999999,319,317,83,81
5,4,xgb,random,0.80375,0.7985257985257985,0.8125,0.80545229244114,0.80375,325,318,82,75
6,4,xgb,random,0.78,0.78,0.78,0.78,0.78,312,312,88,88
7,4,xgb,random,0.7925,0.7896039603960396,0.7975,0.7935323383084577,0.7925,319,315,85,81
8,4,xgb,random,0.7725,0.7595238095238095,0.7975,0.7780487804878049,0.7725,319,299,101,81
9,4,xgb,random,0.79,0.7788461538461539,0.81,0.7941176470588235,0.79,324,308,92,76
0,4,cb,auto,0.57125,0.5524861878453039,0.75,0.6362672322375398,0.57125,300,157,243,100
1,4,cb,auto,0.595,0.5798319327731093,0.69,0.6301369863013698,0.595,276,200,200,124
2,4,cb,auto,0.585,0.572961373390558,0.6675,0.6166281755196305,0.585,267,201,199,133
3,4,cb,auto,0.58125,0.565922920892495,0.6975,0.6248600223964166,0.5812499999999999,279,186,214,121
4,4,cb,auto,0.5875,0.5636363636363636,0.775,0.6526315789473685,0.5874999999999999,310,160,240,90
5,4,cb,auto,0.5725,0.5582329317269076,0.695,0.6191536748329621,0.5724999999999999,278,180,220,122
6,4,cb,auto,0.5925,0.5783898305084746,0.6825,0.6261467889908257,0.5924999999999999,273,201,199,127
7,4,cb,auto,0.5775,0.560077519379845,0.7225,0.631004366812227,0.5775,289,173,227,111
8,4,cb,auto,0.5825,0.5690376569037657,0.68,0.6195899772209568,0.5825,272,194,206,128
9,4,cb,auto,0.59125,0.5669724770642202,0.7725,0.653968253968254,0.59125,309,164,236,91
